C�digo �nico;Nombre del establecimiento;UBIGEO;Direcci�n;C�digo UE;NORTE;ESTE;Capacidad
513;CARPAPATA;120706;CARRETERA CARRETERA CENTRAL CARPAPATA DISTRITO PALCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.55316955;-11.26244323;2950
514;LLACSACACA;120706;PLAZA PLAZA  PRINCIPAL LLACSACACA DISTRITO PALCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.58718157;-11.34790133;2398
515;YAROCA;120706;CARRETERA CARRETERA PRINCIPAL DISTRITO PALCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.54419452;-11.37263859;2102
516;HUARIPAMPA;120706;CARRETERA CARRETERA CENTRAL S/N - HUARIPAMPA N�MERO S/N DISTRITO PALCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.53234093;-11.43372922;2608
517;PATAY;120706;OTROS BARRIO ABAJO S/N N�MERO S/N DISTRITO PALCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.56843266;-11.30832424;3652
518;TAPO;120709;CALLE CALLE RODRIGUO ZARATE S/N N�MERO S/N DISTRITO TAPO PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.56372362;-11.38226672;2946
519;YURACMAYO;120709;PLAZA PLAZA PRINCIPAL PLAZA PRINCIPAL TAPO TARMA JUNIN ;827;-75.52651833;-11.47009209;2805
520;MACO;120709;PLAZA PLAZA PRINCIPAL DE MACO DISTRITO TAPO PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.5505156;-11.48790582;3357
521;CASACOTO - SAN ANTONIO;120709;CARRETERA CARRETERA PRINCIPAL A PAUCARMARCA A 100 MTS DE LA PLAZA PRINCIPAL DE CASACOTO CARRETERA PRINCIPAL A PAUCARMARCA A 100 MTS DE LA PLAZA PRINCIPAL DE CASACOTO TAPO TARMA JUNIN ;827;-75.57553126;-11.36888005;2036
522;QUETA;120709;CARRETERA CARRETERA PRINCIPAL DE QUETA DISTRITO TAPO PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.57828703;-11.43180949;3324
523;PACCHAC;120709;OTROS BARRIO CENTRAL S/N N�MERO S/N DISTRITO TAPO PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.53876448;-11.43594326;3447
524;TARMATAMBO;120701;AVENIDA AV 15 DE JULIO S/N N�MERO S/N DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.68622427;-11.46847568;3564
525;COCHAS;120701;CALLE CALLE CERRO DE PASCO S/N COCHAS ALTO N�MERO S/N DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.78314322;-11.41750062;3312
526;MUYLO;120701;PASAJE PASAJE CIUDAD DE DIOS S/N N�MERO S/N DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.77419752;-11.43726392;3316
527;MULLUCRO;120701;CARRETERA CARRETERA CENTRAL KM 5 - CHUCHUPAMPA DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.73217064;-11.41738711;2124
528;VICORA CONGAS;120701;CARRETERA CARRETERA CENTRAL S/N VICORAS N�MERO S/N DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.67838855;-11.45839288;4000
529;MISARURASHA;120701;CARRETERA CARRETERA CENTRAL - MISARURASHA DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.66404206;-11.44940847;3776
530;CARHUACATAC;120701;CALLE CALLE ANDRES A. CACERES S/N N�MERO S/N DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.6919159;-11.44746512;2985
531;PALCAPACCHA;120701;OTROS PJE PALCAPACCHA - ANEXO PALCAPACCHA DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.80746456;-11.46467205;2402
532;SANYACANCHA;120701;PLAZA PLAZA PRINCIPAL DE DURASNIOC DISTRITO TARMA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.75211115;-11.44082697;2710
533;HUARICOLCA;120703;JIR�N JIRON MANCO CAPAC S/N N�MERO S/N DISTRITO HUARICOLCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.65092634;-11.50803471;3892
534;APAYCANCHILLA;120703;CALLE CALLE 24 DE AGOSTO S/N N�MERO S/N DISTRITO HUARICOLCA PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.58140214;-11.53399374;3775
535;LA UNION LETICIA;120705;JIR�N JIRON UNION S/N N�MERO S/N DISTRITO LA UNION PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.75170287;-11.3803263;3256
536;CUYRUHUASI;120705;PLAZA PLAZA PRINCIPAL CUYRUHUASI DISTRITO LA UNION PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.73234932;-11.37460039;3896
537;CONDORCOCHA;120705;AVENIDA AV. LIMA S/N N�MERO S/N DISTRITO LA UNION PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.7917456;-11.37566114;2885
538;UCHURACRA;120705;OTROS POBLADO UCHURRACRA DISTRITO LA UNION PROVINCIA TARMA DEPARTAMENTO JUNIN ;827;-75.71666737;-11.37060473;3270
539;QUILCATACTA;120504;CALLE 3 DE MAYO S/N CP QUILCATACTA N�MERO S/N DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.915275;-10.94503167;2993
540;YAPACMARCA;120504;AVENIDA 6 DE AGOSTO S/N  YAPACMARCA N�MERO S/N DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.86978833;-10.979435;3971
541;TAMBOS;120504;BARRIO CHAUPIMARCA S/ - CP TAMBOS DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.76310167;-10.98422333;2823
542;SHOGUE;120504;JIR�N JUNIN S/N - CENTRO POBLADO - SHOGUE N�MERO S/N DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.90061833;-10.98919;3083
543;QUIPACANCHA;120504;PLAZA PLAZA CENTRO POBLADO MENOR QUIPACANCHA DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.82940333;-10.99533167;3815
544;PISCURRURAY;120504;PLAZA PLAZA DE ARMAS - CPM PISCURRURAY DISTRITO ULCUMAYO PROVINCIA JUNIN DEPARTAMENTO JUNIN;830;-75.762475;-10.99531;3347
545;CHILCA;120107;JIR�N JR. HUMBOLT N� 900 DISTRITO CHILCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.20297417;-12.0906394;2586
546;AZAPAMPA;120107;ACTUALIZAR;1224;-75.19559009;-12.09269678;2957
547;AUQUIMARCA;120107;ACTUALIZAR DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.217569;-12.09301241;3350
548;LA ESPERANZA;120107;ACTUALIZAR;1224;-75.19044421;-12.07536443;3824
549;CHUPURO;120111;PLAZA PRINCIPAL S/N;1224;-75.24521772;-12.15560755;2314
550;CARHUAPACCHA;120111;JR. SAN MARTIN S/N;1224;-75.24111787;-12.18202783;2618
551;HUANCAN;120119;AVENIDA AV. 31 DE OCTUBRE N� 1310 - BARRIO UNION DISTRITO HUANCAN PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.21422322;-12.1062638;3770
552;HUARI;120119;AVENIDA GENERALCORDOVA S/N N�MERO S/N DISTRITO HUANCAN PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;1224;-75.20519415;-12.10688145;2907
553;HUAYUCACHI;120121;CARRETERA CARRETERA  A CHUPURO S/N N�MERO S/N DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.22432523;-12.14005209;2231
554;HUMANMARCA;120121;CALLE CESAR VALLEJO S/N;1224;-75.2187976;-12.1252814;2727
555;PUCARA;120126;JR. PE�A MURRIETA S/N;1224;-75.14352537;-12.17262238;2558
556;MARCAVALLE;120126;CALLE PRINCIPAL - MARCAVALLE;1224;-75.10680257;-12.22430654;2945
557;RAQUINA;120126;RAQUINA;1224;-75.12401818;-12.17465177;3735
558;JATUN SUCLLA;120126;JATUN SUCLLA;1224;-75.09970537;-12.19416442;2510
559;DOS DE MAYO;120126;ACTUALIZAR;1224;-75.12734136;-12.25451489;2231
560;SAPALLANGA;120133;JR. BOLOGNESI S/N;1224;-75.15826995;-12.13947696;2589
561;LA PUNTA;120133;CALLE REAL S/N - BARRIO CENTRO N�MERO S/N DISTRITO SAPALLANGA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.17841721;-12.1198314;2549
562;COCHARCAS;120133;AVENIDA 15 DE SETIEMBRE S/N - COCHARCAS N�MERO S/N DISTRITO SAPALLANGA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.18231709;-12.13612357;2438
563;MILUCHACA;120133;AVENIDA 2 DE MAYO S/N - MILUCHACA N�MERO S/N DISTRITO SAPALLANGA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.16578164;-12.12131008;2212
564;MIRAFLORES;120133;AV. RAMIRO PRIALE S/N MIRAFLORES;1224;-75.16032691;-12.12857099;3794
565;HUAYLLASPANCA;120133;ACTUALIZAR;1224;-75.19730677;-12.11880742;2690
566;VIQUES;120136;AVENIDA AV. HUASCAR S/N N�MERO S/N DISTRITO VIQUES PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.23055982;-12.15842978;3075
567;CHAMBARA;120204;JIR�N FRANCISCO BOLOGNESI S/N S/N JR. FRANCISCO BOLOGNESI S/N CHAMBARA CONCEPCION JUNIN ;1615;-75.37525636;-12.02724717;3019
568;STA. ROSA DE TISTES;120204;JIR�N JULIO CASTILLO S/N S/N JR. JULIO CASTILLO S/N CHAMBARA CONCEPCION JUNIN ;1615;-75.40132993;-11.99718887;3738
569;SAN BLAS;120204;JIR�N CUNAS S/N S/N JR. CUNAS S/N CHAMBARA CONCEPCION JUNIN ;1615;-75.40334358;-12.02863079;3557
570;ANGASMAYO;120204;JIR�N 20 DE AGOSTO S/N S/N JR. 20 DE AGOSTO S/N CHAMBARA CONCEPCION JUNIN ;1615;-75.39295487;-12.03806043;3243
571;SAN JOSE DE QUERO;120214;JIR�N HIPOLITO HUNANUE S/N S/N JR. HIPOLITO HUNANUE S/N SAN JOSE DE QUERO CONCEPCION JUNIN ;1615;-75.53677995;-12.08556488;2955
572;SAN ROQUE DE HUARMITA;120214;OTROS ANEXO SAN ROQUE ANEXO SAN ROQUE SAN JOSE DE QUERO CONCEPCION JUNIN ;1615;-75.537149;-12.05439275;2687
573;STA. ROSA DE HUARMITA;120214;OTROS ACTUALIZAR ACTUALIZAR SAN JOSE DE QUERO CONCEPCION JUNIN ;1615;-75.56173336;-12.05730094;2177
574;USIBAMBA;120214;OTROS ACTUALIZAR ACTUALIZAR SAN JOSE DE QUERO CONCEPCION JUNIN ;1615;-75.51486754;-12.02384114;2754
575;PEDRO SANCHEZ MEZA - CHUPACA;120901;JIR�N RUFINO ECHENIQUE N� 560 -690 JR. RUFINO ECHENIQUE N� 560 -690 CHUPACA CHUPACA JUNIN ;1615;-75.28830102;-12.06398828;3042
576;AHUAC;120902;AVENIDA TUPAC AMARU S/N -  3ER CUARTEL S/N AV. TUPAC AMARU S/N -  3ER CUARTEL AHUAC CHUPACA JUNIN ;1615;-75.31511324;-12.0758373;3785
577;PUMPUNYA;120903;CALLE SAN CARLOS S/N S/N CALLE SAN CARLOS S/N CHONGOS BAJO CHUPACA JUNIN ;1615;-75.2618349;-12.15352025;3160
578;HUACHAC;120904;JIR�N FELIPE VILCHEZ S/N S/N JR. FELIPE VILCHEZ S/N HUACHAC CHUPACA JUNIN ;1615;-75.34340602;-12.02220584;2674
579;HUAYAO;120904;PLAZA PLAZA PRINCIPAL HUAYAO PLAZA PRINCIPAL HUAYAO HUACHAC CHUPACA JUNIN ;1615;-75.34117879;-12.04867869;2805
580;MARCATUNA;120904;JIR�N LITICIA S/N S/N JR. LITICIA S/N HUACHAC CHUPACA JUNIN ;1615;-75.3427028;-12.03140141;2026
581;ANTAPAMPA;120904;JIR�N LOS INKAS S/N S/N JR. LOS INKAS S/N HUACHAC CHUPACA JUNIN ;1615;-75.36478302;-12.04201215;3043
582;HUAMANCACA CHICO;120905;AVENIDA LOS HEROES S/N S/N AV. LOS HEROES S/N HUAMANCACA CHICO CHUPACA JUNIN ;1615;-75.24547089;-12.07495951;2680
583;SAN JUAN DE ISCOS;120906;PLAZA PLAZA PRINCIPAL-BARRIO CHAUPIMARCA PLAZA PRINCIPAL-BARRIO CHAUPIMARCA SAN JUAN DE YSCOS CHUPACA JUNIN ;1615;-75.29366435;-12.09885285;3290
584;TINYARI CHICO;120906;CALLE MANANTIAL S/N S/N CALLE MANANTIAL S/N SAN JUAN DE YSCOS CHUPACA JUNIN ;1615;-75.28905657;-12.11727594;3350
585;TINYARI GRANDE;120906;OTROS BARRIO LA FLORIDA S/N S/N BARRIO LA FLORIDA S/N SAN JUAN DE YSCOS CHUPACA JUNIN ;1615;-75.29715819;-12.11327226;3120
586;SAN JUAN DE JARPA;120907;JIR�N CUZCO S/N BARRIO UNION S/N JR. CUZCO S/N BARRIO UNION SAN JUAN DE JARPA CHUPACA JUNIN ;1615;-75.43458239;-12.12737999;2054
587;TRES DE DICIEMBRE;120908;AVENIDA PROGRESO S/N BARRIO SAN ISIDRO S/N AV. PROGRESO S/N BARRIO SAN ISIDRO TRES DE DICIEMBRE CHUPACA JUNIN ;1615;-75.24627962;-12.10474464;3212
588;YANACANCHA;120909;CALLE LIBERTAD KM 75 CALLE LIBERTAD KM 75 YANACANCHA CHUPACA JUNIN ;1615;-75.38724749;-12.20190385;3508
589;STO DOMINGO DE CACHI;120909;PLAZA PLAZA PRINCIPAL S/N S/N PLAZA PRINCIPAL S/N YANACANCHA CHUPACA JUNIN ;1615;-75.50934187;-12.24950793;2257
590;INGENIO;120122;JIR�N JUNIN S/N N�MERO S/N DISTRITO INGENIO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.26652915;-11.89082848;2964
591;CASACANCHA;120122;OTROS ESTADIO PRINCIPAL 2DO BARRIO DISTRITO INGENIO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.26290637;-11.90736505;3426
592;STO DOMINGO DE ACOBAMBA;120135;CALLE RAUL RIBECK S/N N�MERO S/N DISTRITO SANTO DOMINGO DE ACOBAMBA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.79543614;-11.76832346;3315
593;PAURAN ATICOCHA;120135;OTROS ACTUALIZAR DISTRITO SANTO DOMINGO DE ACOBAMBA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.78497706;-11.81453069;3303
594;PUMABAMBA;120135;OTROS ACTUALIZAR DISTRITO SANTO DOMINGO DE ACOBAMBA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.77334604;-11.82282943;2531
595;SANTA ROSA DE ASTILLERIA;120135;OTROS ACTUALIZAR DISTRITO SANTO DOMINGO DE ACOBAMBA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.71080176;-11.86269898;2418
596;DAVID GUERRERO DUARTE;120201;JIR�N NUEVE DE JULIO S/N N�MERO S/N DISTRITO CONCEPCION PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.31124063;-11.92220884;2680
597;ANDAMARCA;120203;OTROS ACTUALIZAR DISTRITO ANDAMARCA PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-74.80238326;-11.72680836;2477
598;PUCACOCHA;120203;OTROS ACTUALIZAR DISTRITO ANDAMARCA PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-74.79927317;-11.69169537;3903
599;COCHAS;120205;OTROS ACTUALIZAR DISTRITO COCHAS PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.09947685;-11.66288859;2190
600;COMAS;120206;OTROS ACTUALIZAR ACTUALIZAR COMAS CONCEPCION JUNIN ;1224;-75.08273286;-11.72268339;2133
601;RACRACALLA;120206;OTROS ACTUALIZAR DISTRITO COMAS PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.06540594;-11.75956294;2539
602;POMAMANTA;120206;ACTUALIZAR DISTRITO COMAS PROVINCIA CONCEPCION DEPARTAMENTO JUNIN;1224;-75.13118388;-11.7486917;3228
603;TALHUIS;120206;OTROS ACTUALIZAR DISTRITO COMAS PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.04646851;-11.62876069;2876
604;RUNATULLO;120206;OTROS ACTUALIZAR ACTUALIZAR COMAS CONCEPCION JUNIN ;1224;-75.01234497;-11.61903398;3364
605;HEROINAS TOLEDO;120207;CALLE BOLIVAR S/N N�MERO S/N DISTRITO HEROINAS TOLEDO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.29112261;-11.83604244;3764
606;MATAHUASI;120210;CALLE SAN SEBASTIAN S/N N�MERO S/N DISTRITO MATAHUASI PROVINCIA CONCEPCION DEPARTAMENTO JUNIN;1224;-75.34683747;-11.89289675;3400
607;MARAVILCA;120210;CALLE LOS INCAS S/N N�MERO S/N DISTRITO MATAHUASI PROVINCIA CONCEPCION DEPARTAMENTO JUNIN;1224;-75.3664338;-11.88562549;2523
608;YANAMUCLO;120210;PLAZA PLAZA PRINCIPAL DE YANAMUCLO DISTRITO MATAHUASI PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.38040854;-11.87344573;2461
609;NUEVE DE JULIO;120212;AVENIDA MANUEL PRADO S/N N�MERO S/N DISTRITO NUEVE DE JULIO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.31960212;-11.89467967;3281
610;STA. ROSA DE OCOPA;120215;AVENIDA FRANCISC IRAZOLA S/N N�MERO S/N DISTRITO SANTA ROSA DE OCOPA PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.29656868;-11.87886954;2675
611;HUANCHAR;120215;AVENIDA JUAN LANDAZURI S/N N�MERO S/N DISTRITO SANTA ROSA DE OCOPA PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.31549038;-11.87489672;3166
612;CARHUACALLANGA;120104;AVENIDA SAN MARTIN S/N BARRIO SAN SEBASTIAN S/N AV. SAN MARTIN S/N BARRIO SAN SEBASTIAN CARHUACALLANGA HUANCAYO JUNIN ;1615;-75.20358596;-12.34971983;3883
613;CHACAPAMPA;120105;OTROS BARRIO PEREZ S/N -CHACAPAMPA S/N BARRIO PEREZ S/N -CHACAPAMPA CHACAPAMPA HUANCAYO JUNIN ;1615;-75.25393018;-12.34041705;2855
614;HUACAN;120105;PLAZA PLAZA PRINCIPAL S/N HUACAN S/N PLAZA PRINCIPAL S/N HUACAN CHACAPAMPA HUANCAYO JUNIN ;1615;-75.25414666;-12.33041068;3140
615;LOS ANGELES;120105;OTROS BARRIO CENTRO S/N S/N BARRIO CENTRO S/N CHACAPAMPA HUANCAYO JUNIN ;1615;-75.226411;-12.36887454;3504
616;CHICCHE;120106;AVENIDA DANIEL ALCIDES CARRION S/N S/N AV. DANIEL ALCIDES CARRION S/N CHICCHE HUANCAYO JUNIN ;1615;-75.29929283;-12.29606114;3375
617;VISTA ALEGRE;120106;AVENIDA TUPAC AMARU S/N S/N AV. TUPAC AMARU S/N CHICCHE HUANCAYO JUNIN ;1615;-75.32427701;-12.28005055;2865
618;YANA YANA;120106;OTROS BARRIO YANA YANA NUEVA S/N S/N BARRIO YANA YANA NUEVA S/N CHICCHE HUANCAYO JUNIN ;1615;-75.25866009;-12.30762863;3235
619;CHONGOS ALTO;120108;AVENIDA HUANCAYO S/N CARRETERA CENTRAL S/N AV. HUANCAYO S/N CARRETERA CENTRAL CHONGOS ALTO HUANCAYO JUNIN ;1615;-75.29295866;-12.30741534;2289
620;COLCA;120112;CARRETERA CARRETERA CENTRAL S/N COLCA S/N CARRETERA CENTRAL S/N COLCA COLCA HUANCAYO JUNIN ;1615;-75.223905;-12.31945429;2721
621;STA. CRUZ DE LARIA;120112;CALLE REAL S/N;1224;-75.16411921;-12.31609982;3653
622;HUASICANCHA;120120;JIR�N LOS SAUCES S/N - HUASICANCHA S/N JR. LOS SAUCES S/N - HUASICANCHA HUASICANCHA HUANCAYO JUNIN ;1615;-75.28091604;-12.33244479;2440
623;HOSPITAL REGIONAL DOCENTE DE ENFERMEDADES NEOPLASICAS;120114;JIR�N JIRON AREQUIPA N� 1030 JIRON AREQUIPA N� 1030 EL TAMBO HUANCAYO JUNIN ;823;-75.217933;-12.057533;3371
624;JUSTICIA PAZ Y VIDA;120114;JIR�N LOS TUNALES N� 150-AAHH JUSTICIA PAZ Y VIDA DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.23372274;-12.06084184;2006
625;SA�OS GRANDE;120114;ACTUALIZAR;1224;-75.22756499;-12.01852149;3323
626;SAN MARTIN;120114;CALLE CALLE LAS RETAMAS N� 360 - PUEBLO JOVEN SAN MARTIN DE PORRES DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.21845727;-12.02477331;3862
627;PACCHA;120114;ACTUALIZAR;1224;-75.20950675;-11.99511529;2112
628;UMUTO;120114;ACTUALIZAR;1224;-75.217515;-12.04525071;3869
629;SA�OS CHICO;120114;OTROS ACTUALIZAR DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.22763225;-12.02860595;2011
630;PUESTO DE SALUD DE AZA;120114;OTROS ACTUALIZAR ACTUALIZAR EL TAMBO HUANCAYO JUNIN ;1224;-75.20914516;-12.03074315;2731
631;BATANYACU;120114;ACTUALIZAR DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;1224;-75.22153972;-12.03801582;2906
632;JUAN PARRA DEL RIEGO;120114;JIR�N OSWALDO BARRETO N� 1567 DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;1224;-75.21516966;-12.04690297;3343
633;PUESTO DE SALUD RAMIRO PRIALE;120114;OTROS ACTUALIZAR DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.22684946;-12.06353128;3394
634;HUALAOYO;120114;ACTUALIZAR;1224;-75.22014142;-11.99919853;2617
635;LA VICTORIA;120114;ACTUALIZAR;1224;-75.24009022;-12.02742672;3864
636;HUALHUAS;120117;ACTUALIZAR;1224;-75.25808778;-11.97500889;2225
637;PILCOMAYO;120125;OTROS ACTUALIZAR DISTRITO PILCOMAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.25427493;-12.05607954;2531
638;QUILCAS;120128;ACTUALIZAR;1224;-75.26192048;-11.93735479;3772
639;SAN AGUSTIN DE CAJAS;120129;JIR�N JR. LEONCIO PRADO S/N CUADRA 7 N�MERO S/N DISTRITO SAN AGUSTIN PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.24752626;-11.99213661;2460
640;COILLOR;120129;OTROS ACTUALIZAR DISTRITO SAN AGUSTIN PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.25078411;-12.01318503;3918
641;SAN JERONIMO;120130;JR.CUZCO S/N - BARRIO PUMACUSMA;1224;-75.28140938;-11.95203665;3292
642;SAN PEDRO DE SA�O;120132;ACTUALIZAR;1224;-75.25826982;-11.9587618;3912
643;SICAYA;120134;OTROS ACTUALIZAR DISTRITO SICAYA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.28153974;-12.0170586;3191
644;LA LIBERTAD;120101;JIR�N HUANCAS N� 695 DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.20435799;-12.06428378;3813
645;OCOPILLA;120101;JIR�N MILLER Y PASAJE ALAMO DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.19633596;-12.06992404;3042
646;U�AS;120101;JIR�N 30 DE MAYO S/N - PLAZA PRINCIPAL N�MERO S/N DISTRITO HUANCAYO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.18428275;-12.02503078;2582
647;SAN FRANCISCO;120101;ACTUALIZAR;1224;-75.20201751;-12.07416173;3836
648;CULLPA;120114;ACTUALIZAR;1224;-75.18789804;-12.01505321;3719
649;COCHAS GRANDE;120114;OTROS ACTUALIZAR DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.19967525;-12.00236743;2326
650;COCHAS CHICO;120114;OTROS ESTADIO MUNICIPAL N� 110 DISTRITO EL TAMBO PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-75.19593522;-12.00907758;2813
651;LAMPA;120124;OTROS ACTUALIZAR DISTRITO PARIAHUANCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.8976037;-11.97909219;2048
652;PANTY;120124;ACTUALIZAR;1224;-74.77082209;-12.03092609;2450
653;SAN BALVIN;120124;ACTUALIZAR;1224;-74.88699221;-12.03636656;2415
654;ANTARPA;120124;ACTUALIZAR DISTRITO PARIAHUANCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;1224;-74.86674029;-12.04565637;3172
655;CEDRUYO;120124;ACTUALIZAR DISTRITO PARIAHUANCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN;1224;-74.72146484;-11.98569443;3150
656;LLACSAPIRCA;120124;OTROS ACTUALIZAR DISTRITO PARIAHUANCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.95291479;-11.9139573;2066
657;ROCCHAC;120124;OTROS ACTUALIZAR DISTRITO PARIAHUANCA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.72372634;-12.02659381;2519
658;YUNCACHAQUICOCHA;120135;OTROS ACTUALIZAR DISTRITO SANTO DOMINGO DE ACOBAMBA PROVINCIA HUANCAYO DEPARTAMENTO JUNIN ;1224;-74.70715213;-11.94002895;2032
659;ACO;120202;PLAZA COSTADO PLAZA PRINCIPAL DISTRITO ACO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.36893122;-11.95699506;2408
660;QUICHA CHICO;120202;AVENIDA GRAU S/N N�MERO S/N DISTRITO ACO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.39775043;-11.94735721;2617
661;QUICHA GRANDE;120202;PLAZA PLAZA PRINCIPAL DISTRITO ACO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.41400333;-11.94477617;2694
662;MITO;120211;JIR�N SUCRE N� 498 DISTRITO MITO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.3380997;-11.93597681;2233
663;SAN LUIS YAICO;120211;AVENIDA ROBERTO CHUQUILLANQUI S/N N�MERO S/N DISTRITO MITO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.36009708;-11.91053849;2561
664;MATAHULO;120211;PLAZA PLAZA PRINCIPAL S/N N�MERO S/N DISTRITO MITO PROVINCIA CONCEPCION DEPARTAMENTO JUNIN ;1224;-75.35041408;-11.92265043;3357
665;ORCOTUNA;120213;CARRETERA CARRETERA CENTRAL MARGEN DERECHA DISTRITO ORCOTUNA PROVINCIA CONCEPCION DEPARTAMENTO JUNIN;1224;-75.30982889;-11.9634512;2792
